time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,mode,reward,reason
160.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,1.0,惰行,6.0,70.0,70.0,65.72,70.0,386.7,20.0,208.22935483479642,0.0,6.1,この先制限速度なし,196m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,1.0,遅延回復モードで速度制限付近を維持すべきところ、現在速度が制限内で加速は適切であり、違反やノコギリ運転はなく安全に評価できるため。
206.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,6.0,70.0,70.0,68.41,70.0,358.0,0.0,225.21115163158595,27.0,6.1,この先制限速度なし,167m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.4,遅延回復モードで速度帯内にあり惰行は適切だが、6秒以下の力行から3秒の惰行への短時間切替が合理的理由なくノコギリ運転と判定され、reward上限が0.5に制限される。
182.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,7.0,惰行,6.0,70.0,70.0,66.46,70.0,339.4,0.0,212.83871374435753,3.0,6.1,この先制限速度なし,149m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.5,delay_recoveryモードで必要以上に加速し、次駅減速フェーズで停止位置確保が遅れる恐れがあるため評価を下げた。
212.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,66.04,70.0,255.2,0.0,210.21678014944524,33.0,6.1,この先制限速度なし,65m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.2,次駅減速フェーズで加速し続け、ブレーキ遅延と上限超えの力行、さらにノコギリ運転が判定されたため低評価。
207.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,66.26,70.0,350.0,0.0,211.58827276328907,28.0,6.1,この先制限速度なし,160m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.3,遅延回復モードで速度帯内だが、力行への3秒間の短時間切替がノコギリ運転と判定され、上限0.3点に抑えられた。
205.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,4.0,力行（加速）,3.0,70.0,70.0,65.83,70.0,389.6,0.0,208.9115327742792,26.0,6.1,この先制限速度なし,199m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.2,遅延回復モードで速度帯内だが、加速→惰行への短時間切替がノコギリ運転と判定され、reward上限が0.2に制限される。
211.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,1.0,70.0,70.0,60.32,70.0,171.7,0.0,169.57528839623703,32.0,9.2,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.9,遅延回復モードで制限速度内に減速し、ブレーキ開始位置が許容範囲内、ノコギリ運転なしと判断し高評価とした。
198.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,10.0,惰行,6.0,70.0,70.0,67.02,70.0,297.5,0.0,216.35831660477533,19.0,6.1,この先制限速度なし,107m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,1.0,遅延回復モードで速度は制限速度‑3km/hの帯内にあり、加速は必要速度に近づく正当な操作で、制限・CBTC違反や停止位置リスクはなし。
233.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,力行（加速）,5.0,70.0,70.0,63.59,70.0,204.5,0.0,195.2269499589304,54.0,6.1,この先制限速度なし,14m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.3,遅延回復モードで必要速度付近の維持が求められる中、早期ブレーキと5秒未満のノコギリ運転が判定され、上限0.3点に抑えられた。
198.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,4.0,惰行,6.0,70.0,70.0,66.27,70.0,305.3,0.0,211.65071273737175,19.0,6.1,この先制限速度なし,115m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.4,遅延回復モードで速度帯内だが、惰行→力行への短時間切替が合理的理由なく行われ、ノコギリ運転と判定され報酬が低減された。
